Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,1,00:35,Lisbon (LIS),2022-08-09
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,1,00:35,Lisbon (LIS),2022-08-09
British Airways,BA516,Heathrow (LHR),Scheduled,12:40,Arrival,1,00:40,Lisbon (LIS),2022-08-09
American Airlines,AA6429,Heathrow (LHR),Scheduled,12:40,Arrival,1,00:40,Lisbon (LIS),2022-08-09
SmartLynx Airlines,6Y1445,Genf (GVA),Scheduled,12:45,Arrival,1,00:45,Lisbon (LIS),2022-08-09
easyJet,U21445,Genf (GVA),Scheduled,12:45,Arrival,1,00:45,Lisbon (LIS),2022-08-09
easyJet,U23761,Paris Charles De Gaulle (CDG),Scheduled,12:45,Arrival,1,00:45,Lisbon (LIS),2022-08-09
TAP Air Portugal,TP1558,Sao Vicente (VXE),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2022-08-09
Emirates,EK4835,Sao Vicente (VXE),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2022-08-09
Turkish Airlines,TK8143,Sao Vicente (VXE),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2022-08-09
easyJet,U28717,Gatwick (LGW),Scheduled,13:00,Arrival,1,13:00,Lisbon (LIS),2022-08-09
Royal Air Maroc,AT980,Casablanca Mohamed V (CMN),Scheduled,13:05,Arrival,1,13:05,Lisbon (LIS),2022-08-09
TAP Air Portugal,TP22,Salvador (SSA),Scheduled,13:09,Arrival,1,13:09,Lisbon (LIS),2022-08-09
Azul,AD7260,Salvador (SSA),Scheduled,13:09,Arrival,1,13:09,Lisbon (LIS),2022-08-09
Emirates,EK4831,Salvador (SSA),Scheduled,13:09,Arrival,1,13:09,Lisbon (LIS),2022-08-09
easyJet,U22715,Milan Malpensa (MXP),Scheduled,13:10,Arrival,1,13:10,Lisbon (LIS),2022-08-09
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,2,12:35,Lisbon (LIS),2022-08-09
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,2,12:35,Lisbon (LIS),2022-08-09
British Airways,BA516,Heathrow (LHR),Scheduled,12:40,Arrival,2,12:40,Lisbon (LIS),2022-08-09
American Airlines,AA6429,Heathrow (LHR),Scheduled,12:40,Arrival,2,12:40,Lisbon (LIS),2022-08-09
SmartLynx Airlines,6Y1445,Genf (GVA),Scheduled,12:45,Arrival,2,12:45,Lisbon (LIS),2022-08-09
easyJet,U21445,Genf (GVA),Scheduled,12:45,Arrival,2,12:45,Lisbon (LIS),2022-08-09
easyJet,U23761,Paris Charles De Gaulle (CDG),Scheduled,12:45,Arrival,2,12:45,Lisbon (LIS),2022-08-09
TAP Air Portugal,TP1558,Sao Vicente (VXE),Scheduled,13:00,Arrival,2,13:00,Lisbon (LIS),2022-08-09
Emirates,EK4835,Sao Vicente (VXE),Scheduled,13:00,Arrival,2,13:00,Lisbon (LIS),2022-08-09
Turkish Airlines,TK8143,Sao Vicente (VXE),Scheduled,13:00,Arrival,2,13:00,Lisbon (LIS),2022-08-09
easyJet,U28717,Gatwick (LGW),Scheduled,13:00,Arrival,2,13:00,Lisbon (LIS),2022-08-09
Royal Air Maroc,AT980,Casablanca Mohamed V (CMN),Scheduled,13:05,Arrival,2,13:05,Lisbon (LIS),2022-08-09
TAP Air Portugal,TP22,Salvador (SSA),Scheduled,13:09,Arrival,2,13:09,Lisbon (LIS),2022-08-09
Azul,AD7260,Salvador (SSA),Scheduled,13:09,Arrival,2,13:09,Lisbon (LIS),2022-08-09
Emirates,EK4831,Salvador (SSA),Scheduled,13:09,Arrival,2,13:09,Lisbon (LIS),2022-08-09
easyJet,U22715,Milan Malpensa (MXP),Scheduled,13:10,Arrival,2,13:10,Lisbon (LIS),2022-08-09
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,3,12:35,Lisbon (LIS),2022-08-09
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,3,12:35,Lisbon (LIS),2022-08-09
British Airways,BA516,Heathrow (LHR),Scheduled,12:40,Arrival,3,12:40,Lisbon (LIS),2022-08-09
American Airlines,AA6429,Heathrow (LHR),Scheduled,12:40,Arrival,3,12:40,Lisbon (LIS),2022-08-09
SmartLynx Airlines,6Y1445,Genf (GVA),Scheduled,12:45,Arrival,3,12:45,Lisbon (LIS),2022-08-09
easyJet,U21445,Genf (GVA),Scheduled,12:45,Arrival,3,12:45,Lisbon (LIS),2022-08-09
easyJet,U23761,Paris Charles De Gaulle (CDG),Scheduled,12:45,Arrival,3,12:45,Lisbon (LIS),2022-08-09
TAP Air Portugal,TP1558,Sao Vicente (VXE),Scheduled,13:00,Arrival,3,13:00,Lisbon (LIS),2022-08-09
Emirates,EK4835,Sao Vicente (VXE),Scheduled,13:00,Arrival,3,13:00,Lisbon (LIS),2022-08-09
Turkish Airlines,TK8143,Sao Vicente (VXE),Scheduled,13:00,Arrival,3,13:00,Lisbon (LIS),2022-08-09
easyJet,U28717,Gatwick (LGW),Scheduled,13:00,Arrival,3,13:00,Lisbon (LIS),2022-08-09
Royal Air Maroc,AT980,Casablanca Mohamed V (CMN),Scheduled,13:05,Arrival,3,13:05,Lisbon (LIS),2022-08-09
TAP Air Portugal,TP22,Salvador (SSA),Scheduled,13:09,Arrival,3,13:09,Lisbon (LIS),2022-08-09
Azul,AD7260,Salvador (SSA),Scheduled,13:09,Arrival,3,13:09,Lisbon (LIS),2022-08-09
Emirates,EK4831,Salvador (SSA),Scheduled,13:09,Arrival,3,13:09,Lisbon (LIS),2022-08-09
easyJet,U22715,Milan Malpensa (MXP),Scheduled,13:10,Arrival,3,13:10,Lisbon (LIS),2022-08-09
Emirates,EK191,Dubai (DXB),Scheduled,12:35,Arrival,4,12:35,Lisbon (LIS),2022-08-09
TAP Air Portugal,TP6730,Dubai (DXB),Scheduled,12:35,Arrival,4,12:35,Lisbon (LIS),2022-08-09
