Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
TAP Air Portugal,TP6705,Lisbon (LIS),Scheduled,05:10,Departures,5,05:10,Frankfurt (FRA),2022-12-02
United Airlines,UA9159,Lisbon (LIS),Scheduled,05:10,Departures,5,05:10,Frankfurt (FRA),2022-12-02
Air France,AF1125,Lisbon (LIS),Scheduled,05:30,Departures,5,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Delta Air Lines,DL8439,Lisbon (LIS),Scheduled,05:30,Departures,5,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Etihad Airways,EY5926,Lisbon (LIS),Scheduled,05:30,Departures,5,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Gol,G35122,Lisbon (LIS),Scheduled,05:30,Departures,5,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Korean Air,KE6400,Lisbon (LIS),Scheduled,05:30,Departures,5,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Kenya Airways,KQ3791,Lisbon (LIS),Scheduled,05:30,Departures,5,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Azores Airlines,S47302,Lisbon (LIS),Scheduled,05:30,Departures,5,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Singapore Airlines,SQ1877,Lisbon (LIS),Scheduled,05:30,Departures,5,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Ryanair,FR4532,Lisbon (LIS),Scheduled,05:55,Departures,5,05:55,Rome Ciampino (CIA),2022-12-02
KLM,KL1692,Lisbon (LIS),Scheduled,05:00,Departures,6,05:00,Amsterdam Schiphol (AMS),2022-12-02
Aeromexico,AM6641,Lisbon (LIS),Scheduled,05:00,Departures,6,05:00,Amsterdam Schiphol (AMS),2022-12-02
China Southern Airlines,CZ7665,Lisbon (LIS),Scheduled,05:00,Departures,6,05:00,Amsterdam Schiphol (AMS),2022-12-02
Delta Air Lines,DL9506,Lisbon (LIS),Scheduled,05:00,Departures,6,05:00,Amsterdam Schiphol (AMS),2022-12-02
Gol,G35563,Lisbon (LIS),Scheduled,05:00,Departures,6,05:00,Amsterdam Schiphol (AMS),2022-12-02
Korean Air,KE6440,Lisbon (LIS),Scheduled,05:00,Departures,6,05:00,Amsterdam Schiphol (AMS),2022-12-02
Lufthansa,LH1173,Lisbon (LIS),Scheduled,05:10,Departures,6,05:10,Frankfurt (FRA),2022-12-02
Air Canada,AC9083,Lisbon (LIS),Scheduled,05:10,Departures,6,05:10,Frankfurt (FRA),2022-12-02
Austrian,OS7344,Lisbon (LIS),Scheduled,05:10,Departures,6,05:10,Frankfurt (FRA),2022-12-02
Thai Airways International,TG7693,Lisbon (LIS),Scheduled,05:10,Departures,6,05:10,Frankfurt (FRA),2022-12-02
TAP Air Portugal,TP6705,Lisbon (LIS),Scheduled,05:10,Departures,6,05:10,Frankfurt (FRA),2022-12-02
United Airlines,UA9159,Lisbon (LIS),Scheduled,05:10,Departures,6,05:10,Frankfurt (FRA),2022-12-02
Air France,AF1125,Lisbon (LIS),Scheduled,05:30,Departures,6,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Delta Air Lines,DL8439,Lisbon (LIS),Scheduled,05:30,Departures,6,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Etihad Airways,EY5926,Lisbon (LIS),Scheduled,05:30,Departures,6,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Gol,G35122,Lisbon (LIS),Scheduled,05:30,Departures,6,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Korean Air,KE6400,Lisbon (LIS),Scheduled,05:30,Departures,6,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Kenya Airways,KQ3791,Lisbon (LIS),Scheduled,05:30,Departures,6,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Azores Airlines,S47302,Lisbon (LIS),Scheduled,05:30,Departures,6,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Singapore Airlines,SQ1877,Lisbon (LIS),Scheduled,05:30,Departures,6,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Ryanair,FR4532,Lisbon (LIS),Scheduled,05:55,Departures,6,05:55,Rome Ciampino (CIA),2022-12-02
KLM,KL1692,Lisbon (LIS),Scheduled,05:00,Departures,7,05:00,Amsterdam Schiphol (AMS),2022-12-02
Aeromexico,AM6641,Lisbon (LIS),Scheduled,05:00,Departures,7,05:00,Amsterdam Schiphol (AMS),2022-12-02
China Southern Airlines,CZ7665,Lisbon (LIS),Scheduled,05:00,Departures,7,05:00,Amsterdam Schiphol (AMS),2022-12-02
Delta Air Lines,DL9506,Lisbon (LIS),Scheduled,05:00,Departures,7,05:00,Amsterdam Schiphol (AMS),2022-12-02
Gol,G35563,Lisbon (LIS),Scheduled,05:00,Departures,7,05:00,Amsterdam Schiphol (AMS),2022-12-02
Korean Air,KE6440,Lisbon (LIS),Scheduled,05:00,Departures,7,05:00,Amsterdam Schiphol (AMS),2022-12-02
Lufthansa,LH1173,Lisbon (LIS),Scheduled,05:10,Departures,7,05:10,Frankfurt (FRA),2022-12-02
Air Canada,AC9083,Lisbon (LIS),Scheduled,05:10,Departures,7,05:10,Frankfurt (FRA),2022-12-02
Austrian,OS7344,Lisbon (LIS),Scheduled,05:10,Departures,7,05:10,Frankfurt (FRA),2022-12-02
Thai Airways International,TG7693,Lisbon (LIS),Scheduled,05:10,Departures,7,05:10,Frankfurt (FRA),2022-12-02
TAP Air Portugal,TP6705,Lisbon (LIS),Scheduled,05:10,Departures,7,05:10,Frankfurt (FRA),2022-12-02
United Airlines,UA9159,Lisbon (LIS),Scheduled,05:10,Departures,7,05:10,Frankfurt (FRA),2022-12-02
Air France,AF1125,Lisbon (LIS),Scheduled,05:30,Departures,7,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Delta Air Lines,DL8439,Lisbon (LIS),Scheduled,05:30,Departures,7,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Etihad Airways,EY5926,Lisbon (LIS),Scheduled,05:30,Departures,7,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Gol,G35122,Lisbon (LIS),Scheduled,05:30,Departures,7,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Korean Air,KE6400,Lisbon (LIS),Scheduled,05:30,Departures,7,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Kenya Airways,KQ3791,Lisbon (LIS),Scheduled,05:30,Departures,7,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Azores Airlines,S47302,Lisbon (LIS),Scheduled,05:30,Departures,7,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Singapore Airlines,SQ1877,Lisbon (LIS),Scheduled,05:30,Departures,7,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Ryanair,FR4532,Lisbon (LIS),Scheduled,05:55,Departures,7,05:55,Rome Ciampino (CIA),2022-12-02
KLM,KL1692,Lisbon (LIS),Scheduled,05:00,Departures,8,05:00,Amsterdam Schiphol (AMS),2022-12-02
Aeromexico,AM6641,Lisbon (LIS),Scheduled,05:00,Departures,8,05:00,Amsterdam Schiphol (AMS),2022-12-02
China Southern Airlines,CZ7665,Lisbon (LIS),Scheduled,05:00,Departures,8,05:00,Amsterdam Schiphol (AMS),2022-12-02
Delta Air Lines,DL9506,Lisbon (LIS),Scheduled,05:00,Departures,8,05:00,Amsterdam Schiphol (AMS),2022-12-02
Gol,G35563,Lisbon (LIS),Scheduled,05:00,Departures,8,05:00,Amsterdam Schiphol (AMS),2022-12-02
Korean Air,KE6440,Lisbon (LIS),Scheduled,05:00,Departures,8,05:00,Amsterdam Schiphol (AMS),2022-12-02
Lufthansa,LH1173,Lisbon (LIS),Scheduled,05:10,Departures,8,05:10,Frankfurt (FRA),2022-12-02
Air Canada,AC9083,Lisbon (LIS),Scheduled,05:10,Departures,8,05:10,Frankfurt (FRA),2022-12-02
Austrian,OS7344,Lisbon (LIS),Scheduled,05:10,Departures,8,05:10,Frankfurt (FRA),2022-12-02
Thai Airways International,TG7693,Lisbon (LIS),Scheduled,05:10,Departures,8,05:10,Frankfurt (FRA),2022-12-02
TAP Air Portugal,TP6705,Lisbon (LIS),Scheduled,05:10,Departures,8,05:10,Frankfurt (FRA),2022-12-02
United Airlines,UA9159,Lisbon (LIS),Scheduled,05:10,Departures,8,05:10,Frankfurt (FRA),2022-12-02
Air France,AF1125,Lisbon (LIS),Scheduled,05:30,Departures,8,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Delta Air Lines,DL8439,Lisbon (LIS),Scheduled,05:30,Departures,8,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Etihad Airways,EY5926,Lisbon (LIS),Scheduled,05:30,Departures,8,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Gol,G35122,Lisbon (LIS),Scheduled,05:30,Departures,8,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Korean Air,KE6400,Lisbon (LIS),Scheduled,05:30,Departures,8,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Kenya Airways,KQ3791,Lisbon (LIS),Scheduled,05:30,Departures,8,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Azores Airlines,S47302,Lisbon (LIS),Scheduled,05:30,Departures,8,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Singapore Airlines,SQ1877,Lisbon (LIS),Scheduled,05:30,Departures,8,05:30,Paris Charles De Gaulle (CDG),2022-12-02
Ryanair,FR4532,Lisbon (LIS),Scheduled,05:55,Departures,8,05:55,Rome Ciampino (CIA),2022-12-02
