Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
Azul,AD7278,Rio De Janeiro (GIG),Scheduled,05:10,Arrival,3,05:10,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP82,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:15,Arrival,3,05:15,Lisbon (LIS),2022-11-20
Azul,AD7214,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:15,Arrival,3,05:15,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP202,Newark (EWR),Scheduled,05:25,Arrival,3,05:25,Lisbon (LIS),2022-11-20
Air Canada,AC2704,Newark (EWR),Scheduled,05:25,Arrival,3,05:25,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP224,Miami (MIA),Scheduled,05:30,Arrival,3,05:30,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP218,Boston (BOS),Scheduled,05:35,Arrival,3,05:35,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP232,Dulles (IAD),Scheduled,05:35,Arrival,3,05:35,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP260,Toronte (YYZ),Scheduled,05:40,Arrival,3,05:40,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1482, (DSS),Scheduled,06:00,Arrival,3,06:00,Lisbon (LIS),2022-11-20
Air Canada,AC2642, (DSS),Scheduled,06:00,Arrival,3,06:00,Lisbon (LIS),2022-11-20
Emirates,EK4809, (DSS),Scheduled,06:00,Arrival,3,06:00,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1548,Sal (SID),Scheduled,06:00,Arrival,3,06:00,Lisbon (LIS),2022-11-20
Turkish Airlines,TK8139,Sal (SID),Scheduled,06:00,Arrival,3,06:00,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1925,Porto (OPO),Scheduled,06:00,Arrival,3,06:00,Lisbon (LIS),2022-11-20
Azul,AD7315,Porto (OPO),Scheduled,06:00,Arrival,3,06:00,Lisbon (LIS),2022-11-20
Lufthansa,LH6945,Porto (OPO),Scheduled,06:00,Arrival,3,06:00,Lisbon (LIS),2022-11-20
Azores Airlines,S48413,Porto (OPO),Scheduled,06:00,Arrival,3,06:00,Lisbon (LIS),2022-11-20
Air Canada,AC812,Montreal (YUL),Scheduled,06:05,Arrival,3,06:05,Lisbon (LIS),2022-11-20
Lufthansa,LH6547,Montreal (YUL),Scheduled,06:05,Arrival,3,06:05,Lisbon (LIS),2022-11-20
United Airlines,UA8028,Montreal (YUL),Scheduled,06:05,Arrival,3,06:05,Lisbon (LIS),2022-11-20
Hi Fly,5K650,Luanda (LAD),Scheduled,06:10,Arrival,3,06:10,Lisbon (LIS),2022-11-20
TAAG,DT650,Luanda (LAD),Scheduled,06:10,Arrival,3,06:10,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1497,Banjul (BJL),Scheduled,06:10,Arrival,3,06:10,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1690,Funchal (FNC),Scheduled,06:10,Arrival,3,06:10,Lisbon (LIS),2022-11-20
Air Canada,AC2665,Funchal (FNC),Scheduled,06:10,Arrival,3,06:10,Lisbon (LIS),2022-11-20
Azul,AD7281,Funchal (FNC),Scheduled,06:10,Arrival,3,06:10,Lisbon (LIS),2022-11-20
Emirates,EK4776,Funchal (FNC),Scheduled,06:10,Arrival,3,06:10,Lisbon (LIS),2022-11-20
Beijing Capital Airlines,JD5440,Funchal (FNC),Scheduled,06:10,Arrival,3,06:10,Lisbon (LIS),2022-11-20
Luxair,LG1978,Funchal (FNC),Scheduled,06:10,Arrival,3,06:10,Lisbon (LIS),2022-11-20
Lufthansa,LH6963,Funchal (FNC),Scheduled,06:10,Arrival,3,06:10,Lisbon (LIS),2022-11-20
LOT - Polish Airlines,LO4744,Funchal (FNC),Scheduled,06:10,Arrival,3,06:10,Lisbon (LIS),2022-11-20
Azores Airlines,S48016,Funchal (FNC),Scheduled,06:10,Arrival,3,06:10,Lisbon (LIS),2022-11-20
United Airlines,UA6877,Funchal (FNC),Scheduled,06:10,Arrival,3,06:10,Lisbon (LIS),2022-11-20
LATAM Airlines,LA8146,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,06:15,Arrival,3,06:15,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1544,Praia (RAI),Scheduled,06:15,Arrival,3,06:15,Lisbon (LIS),2022-11-20
Turkish Airlines,TK8136,Praia (RAI),Scheduled,06:15,Arrival,3,06:15,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1139,Malaga (AGP),Scheduled,06:20,Arrival,3,06:20,Lisbon (LIS),2022-11-20
Air Canada,AC2685,Malaga (AGP),Scheduled,06:20,Arrival,3,06:20,Lisbon (LIS),2022-11-20
Azul,AD7337,Malaga (AGP),Scheduled,06:20,Arrival,3,06:20,Lisbon (LIS),2022-11-20
Azores Airlines,S48057,Malaga (AGP),Scheduled,06:20,Arrival,3,06:20,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1532,Accra (ACC),Scheduled,06:24,Arrival,3,06:24,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1532,Sao Tome Is (TMS),Scheduled,04:40,Arrival,4,04:40,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP74,Rio De Janeiro (GIG),Scheduled,05:10,Arrival,4,05:10,Lisbon (LIS),2022-11-20
Azul,AD7278,Rio De Janeiro (GIG),Scheduled,05:10,Arrival,4,05:10,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP82,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:15,Arrival,4,05:15,Lisbon (LIS),2022-11-20
Azul,AD7214,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:15,Arrival,4,05:15,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP202,Newark (EWR),Scheduled,05:25,Arrival,4,05:25,Lisbon (LIS),2022-11-20
Air Canada,AC2704,Newark (EWR),Scheduled,05:25,Arrival,4,05:25,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP224,Miami (MIA),Scheduled,05:30,Arrival,4,05:30,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP218,Boston (BOS),Scheduled,05:35,Arrival,4,05:35,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP232,Dulles (IAD),Scheduled,05:35,Arrival,4,05:35,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP260,Toronte (YYZ),Scheduled,05:40,Arrival,4,05:40,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1482, (DSS),Scheduled,06:00,Arrival,4,06:00,Lisbon (LIS),2022-11-20
Air Canada,AC2642, (DSS),Scheduled,06:00,Arrival,4,06:00,Lisbon (LIS),2022-11-20
Emirates,EK4809, (DSS),Scheduled,06:00,Arrival,4,06:00,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1548,Sal (SID),Scheduled,06:00,Arrival,4,06:00,Lisbon (LIS),2022-11-20
Turkish Airlines,TK8139,Sal (SID),Scheduled,06:00,Arrival,4,06:00,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1925,Porto (OPO),Scheduled,06:00,Arrival,4,06:00,Lisbon (LIS),2022-11-20
Azul,AD7315,Porto (OPO),Scheduled,06:00,Arrival,4,06:00,Lisbon (LIS),2022-11-20
Lufthansa,LH6945,Porto (OPO),Scheduled,06:00,Arrival,4,06:00,Lisbon (LIS),2022-11-20
Azores Airlines,S48413,Porto (OPO),Scheduled,06:00,Arrival,4,06:00,Lisbon (LIS),2022-11-20
Air Canada,AC812,Montreal (YUL),Scheduled,06:05,Arrival,4,06:05,Lisbon (LIS),2022-11-20
Lufthansa,LH6547,Montreal (YUL),Scheduled,06:05,Arrival,4,06:05,Lisbon (LIS),2022-11-20
United Airlines,UA8028,Montreal (YUL),Scheduled,06:05,Arrival,4,06:05,Lisbon (LIS),2022-11-20
Hi Fly,5K650,Luanda (LAD),Scheduled,06:10,Arrival,4,06:10,Lisbon (LIS),2022-11-20
TAAG,DT650,Luanda (LAD),Scheduled,06:10,Arrival,4,06:10,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1497,Banjul (BJL),Scheduled,06:10,Arrival,4,06:10,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1690,Funchal (FNC),Scheduled,06:10,Arrival,4,06:10,Lisbon (LIS),2022-11-20
Air Canada,AC2665,Funchal (FNC),Scheduled,06:10,Arrival,4,06:10,Lisbon (LIS),2022-11-20
Azul,AD7281,Funchal (FNC),Scheduled,06:10,Arrival,4,06:10,Lisbon (LIS),2022-11-20
Emirates,EK4776,Funchal (FNC),Scheduled,06:10,Arrival,4,06:10,Lisbon (LIS),2022-11-20
Beijing Capital Airlines,JD5440,Funchal (FNC),Scheduled,06:10,Arrival,4,06:10,Lisbon (LIS),2022-11-20
Luxair,LG1978,Funchal (FNC),Scheduled,06:10,Arrival,4,06:10,Lisbon (LIS),2022-11-20
Lufthansa,LH6963,Funchal (FNC),Scheduled,06:10,Arrival,4,06:10,Lisbon (LIS),2022-11-20
LOT - Polish Airlines,LO4744,Funchal (FNC),Scheduled,06:10,Arrival,4,06:10,Lisbon (LIS),2022-11-20
Azores Airlines,S48016,Funchal (FNC),Scheduled,06:10,Arrival,4,06:10,Lisbon (LIS),2022-11-20
United Airlines,UA6877,Funchal (FNC),Scheduled,06:10,Arrival,4,06:10,Lisbon (LIS),2022-11-20
LATAM Airlines,LA8146,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,06:15,Arrival,4,06:15,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1544,Praia (RAI),Scheduled,06:15,Arrival,4,06:15,Lisbon (LIS),2022-11-20
Turkish Airlines,TK8136,Praia (RAI),Scheduled,06:15,Arrival,4,06:15,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1139,Malaga (AGP),Scheduled,06:20,Arrival,4,06:20,Lisbon (LIS),2022-11-20
Air Canada,AC2685,Malaga (AGP),Scheduled,06:20,Arrival,4,06:20,Lisbon (LIS),2022-11-20
Azul,AD7337,Malaga (AGP),Scheduled,06:20,Arrival,4,06:20,Lisbon (LIS),2022-11-20
Azores Airlines,S48057,Malaga (AGP),Scheduled,06:20,Arrival,4,06:20,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1532,Accra (ACC),Scheduled,06:24,Arrival,4,06:24,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1532,Sao Tome Is (TMS),Scheduled,04:40,Arrival,5,04:40,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP74,Rio De Janeiro (GIG),Scheduled,05:10,Arrival,5,05:10,Lisbon (LIS),2022-11-20
Azul,AD7278,Rio De Janeiro (GIG),Scheduled,05:10,Arrival,5,05:10,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP82,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:15,Arrival,5,05:15,Lisbon (LIS),2022-11-20
Azul,AD7214,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:15,Arrival,5,05:15,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP202,Newark (EWR),Scheduled,05:25,Arrival,5,05:25,Lisbon (LIS),2022-11-20
Air Canada,AC2704,Newark (EWR),Scheduled,05:25,Arrival,5,05:25,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP224,Miami (MIA),Scheduled,05:30,Arrival,5,05:30,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP218,Boston (BOS),Scheduled,05:35,Arrival,5,05:35,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP232,Dulles (IAD),Scheduled,05:35,Arrival,5,05:35,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP260,Toronte (YYZ),Scheduled,05:40,Arrival,5,05:40,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1482, (DSS),Scheduled,06:00,Arrival,5,06:00,Lisbon (LIS),2022-11-20
Air Canada,AC2642, (DSS),Scheduled,06:00,Arrival,5,06:00,Lisbon (LIS),2022-11-20
Emirates,EK4809, (DSS),Scheduled,06:00,Arrival,5,06:00,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1548,Sal (SID),Scheduled,06:00,Arrival,5,06:00,Lisbon (LIS),2022-11-20
Turkish Airlines,TK8139,Sal (SID),Scheduled,06:00,Arrival,5,06:00,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1925,Porto (OPO),Scheduled,06:00,Arrival,5,06:00,Lisbon (LIS),2022-11-20
Azul,AD7315,Porto (OPO),Scheduled,06:00,Arrival,5,06:00,Lisbon (LIS),2022-11-20
Lufthansa,LH6945,Porto (OPO),Scheduled,06:00,Arrival,5,06:00,Lisbon (LIS),2022-11-20
Azores Airlines,S48413,Porto (OPO),Scheduled,06:00,Arrival,5,06:00,Lisbon (LIS),2022-11-20
Air Canada,AC812,Montreal (YUL),Scheduled,06:05,Arrival,5,06:05,Lisbon (LIS),2022-11-20
Lufthansa,LH6547,Montreal (YUL),Scheduled,06:05,Arrival,5,06:05,Lisbon (LIS),2022-11-20
United Airlines,UA8028,Montreal (YUL),Scheduled,06:05,Arrival,5,06:05,Lisbon (LIS),2022-11-20
Hi Fly,5K650,Luanda (LAD),Scheduled,06:10,Arrival,5,06:10,Lisbon (LIS),2022-11-20
TAAG,DT650,Luanda (LAD),Scheduled,06:10,Arrival,5,06:10,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1497,Banjul (BJL),Scheduled,06:10,Arrival,5,06:10,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1690,Funchal (FNC),Scheduled,06:10,Arrival,5,06:10,Lisbon (LIS),2022-11-20
Air Canada,AC2665,Funchal (FNC),Scheduled,06:10,Arrival,5,06:10,Lisbon (LIS),2022-11-20
Azul,AD7281,Funchal (FNC),Scheduled,06:10,Arrival,5,06:10,Lisbon (LIS),2022-11-20
Emirates,EK4776,Funchal (FNC),Scheduled,06:10,Arrival,5,06:10,Lisbon (LIS),2022-11-20
Beijing Capital Airlines,JD5440,Funchal (FNC),Scheduled,06:10,Arrival,5,06:10,Lisbon (LIS),2022-11-20
Luxair,LG1978,Funchal (FNC),Scheduled,06:10,Arrival,5,06:10,Lisbon (LIS),2022-11-20
Lufthansa,LH6963,Funchal (FNC),Scheduled,06:10,Arrival,5,06:10,Lisbon (LIS),2022-11-20
LOT - Polish Airlines,LO4744,Funchal (FNC),Scheduled,06:10,Arrival,5,06:10,Lisbon (LIS),2022-11-20
Azores Airlines,S48016,Funchal (FNC),Scheduled,06:10,Arrival,5,06:10,Lisbon (LIS),2022-11-20
United Airlines,UA6877,Funchal (FNC),Scheduled,06:10,Arrival,5,06:10,Lisbon (LIS),2022-11-20
LATAM Airlines,LA8146,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,06:15,Arrival,5,06:15,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1544,Praia (RAI),Scheduled,06:15,Arrival,5,06:15,Lisbon (LIS),2022-11-20
Turkish Airlines,TK8136,Praia (RAI),Scheduled,06:15,Arrival,5,06:15,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1139,Malaga (AGP),Scheduled,06:20,Arrival,5,06:20,Lisbon (LIS),2022-11-20
Air Canada,AC2685,Malaga (AGP),Scheduled,06:20,Arrival,5,06:20,Lisbon (LIS),2022-11-20
Azul,AD7337,Malaga (AGP),Scheduled,06:20,Arrival,5,06:20,Lisbon (LIS),2022-11-20
Azores Airlines,S48057,Malaga (AGP),Scheduled,06:20,Arrival,5,06:20,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1532,Accra (ACC),Scheduled,06:24,Arrival,5,06:24,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP1532,Sao Tome Is (TMS),Scheduled,04:40,Arrival,6,04:40,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP74,Rio De Janeiro (GIG),Scheduled,05:10,Arrival,6,05:10,Lisbon (LIS),2022-11-20
Azul,AD7278,Rio De Janeiro (GIG),Scheduled,05:10,Arrival,6,05:10,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP82,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:15,Arrival,6,05:15,Lisbon (LIS),2022-11-20
Azul,AD7214,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:15,Arrival,6,05:15,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP202,Newark (EWR),Scheduled,05:25,Arrival,6,05:25,Lisbon (LIS),2022-11-20
Air Canada,AC2704,Newark (EWR),Scheduled,05:25,Arrival,6,05:25,Lisbon (LIS),2022-11-20
TAP Air Portugal,TP224,Miami (MIA),Scheduled,05:30,Arrival,6,05:30,Lisbon (LIS),2022-11-20
