Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
TAP Air Portugal,TP2542,Rio De Janeiro (GIG),Scheduled,03:20,Arrival,1,03:20,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP1461,Agadir (AGA),Scheduled,04:05,Arrival,1,04:05,Lisbon (LIS),2022-11-13
Air Canada,AC2646,Agadir (AGA),Scheduled,04:05,Arrival,1,04:05,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP1532,Sao Tome Is (TMS),Scheduled,04:40,Arrival,1,04:40,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP74,Rio De Janeiro (GIG),Scheduled,05:10,Arrival,1,05:10,Lisbon (LIS),2022-11-13
Azul,AD7278,Rio De Janeiro (GIG),Scheduled,05:10,Arrival,1,05:10,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP82,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:15,Arrival,1,05:15,Lisbon (LIS),2022-11-13
Azul,AD7214,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:15,Arrival,1,05:15,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP202,Newark (EWR),Scheduled,05:25,Arrival,1,05:25,Lisbon (LIS),2022-11-13
Air Canada,AC2704,Newark (EWR),Scheduled,05:25,Arrival,1,05:25,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP224,Miami (MIA),Scheduled,05:30,Arrival,1,05:30,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP218,Boston (BOS),Scheduled,05:35,Arrival,1,05:35,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP232,Dulles (IAD),Scheduled,05:35,Arrival,1,05:35,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP260,Toronte (YYZ),Scheduled,05:40,Arrival,1,05:40,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP1482, (DSS),Scheduled,06:00,Arrival,1,06:00,Lisbon (LIS),2022-11-13
Air Canada,AC2642, (DSS),Scheduled,06:00,Arrival,1,06:00,Lisbon (LIS),2022-11-13
Emirates,EK4809, (DSS),Scheduled,06:00,Arrival,1,06:00,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP1548,Sal (SID),Scheduled,06:00,Arrival,1,06:00,Lisbon (LIS),2022-11-13
Turkish Airlines,TK8139,Sal (SID),Scheduled,06:00,Arrival,1,06:00,Lisbon (LIS),2022-11-13
Air Canada,AC812,Montreal (YUL),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-11-13
Lufthansa,LH6547,Montreal (YUL),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-11-13
United Airlines,UA8028,Montreal (YUL),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP1925,Porto (OPO),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-11-13
Azul,AD7315,Porto (OPO),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-11-13
Lufthansa,LH6945,Porto (OPO),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-11-13
Azores Airlines,S48413,Porto (OPO),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-11-13
Hi Fly,5K650,Luanda (LAD),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-11-13
TAAG,DT650,Luanda (LAD),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP1497,Banjul (BJL),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP1690,Funchal (FNC),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-11-13
Air Canada,AC2665,Funchal (FNC),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-11-13
Azul,AD7281,Funchal (FNC),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-11-13
Emirates,EK4776,Funchal (FNC),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-11-13
Beijing Capital Airlines,JD5440,Funchal (FNC),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-11-13
Luxair,LG1978,Funchal (FNC),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-11-13
Lufthansa,LH6963,Funchal (FNC),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-11-13
LOT - Polish Airlines,LO4744,Funchal (FNC),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-11-13
Azores Airlines,S48016,Funchal (FNC),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-11-13
United Airlines,UA6877,Funchal (FNC),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-11-13
LATAM Airlines,LA8146,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,06:15,Arrival,1,06:15,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP1544,Praia (RAI),Scheduled,06:15,Arrival,1,06:15,Lisbon (LIS),2022-11-13
Turkish Airlines,TK8136,Praia (RAI),Scheduled,06:15,Arrival,1,06:15,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP2542,Rio De Janeiro (GIG),Scheduled,03:20,Arrival,2,03:20,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP1461,Agadir (AGA),Scheduled,04:05,Arrival,2,04:05,Lisbon (LIS),2022-11-13
Air Canada,AC2646,Agadir (AGA),Scheduled,04:05,Arrival,2,04:05,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP1532,Sao Tome Is (TMS),Scheduled,04:40,Arrival,2,04:40,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP74,Rio De Janeiro (GIG),Scheduled,05:10,Arrival,2,05:10,Lisbon (LIS),2022-11-13
Azul,AD7278,Rio De Janeiro (GIG),Scheduled,05:10,Arrival,2,05:10,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP82,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:15,Arrival,2,05:15,Lisbon (LIS),2022-11-13
Azul,AD7214,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:15,Arrival,2,05:15,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP202,Newark (EWR),Scheduled,05:25,Arrival,2,05:25,Lisbon (LIS),2022-11-13
Air Canada,AC2704,Newark (EWR),Scheduled,05:25,Arrival,2,05:25,Lisbon (LIS),2022-11-13
TAP Air Portugal,TP224,Miami (MIA),Scheduled,05:30,Arrival,2,05:30,Lisbon (LIS),2022-11-13
