Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
TAP Air Portugal,TP3769, (DSS),Scheduled,03:11,Arrival,1,03:11,Lisbon (LIS),2022-11-19
TAP Air Portugal,TP1491,Conakry (CKY),Scheduled,03:55,Arrival,1,03:55,Lisbon (LIS),2022-11-19
Air Canada,AC2644,Conakry (CKY),Scheduled,03:55,Arrival,1,03:55,Lisbon (LIS),2022-11-19
Emirates,EK4805,Conakry (CKY),Scheduled,03:55,Arrival,1,03:55,Lisbon (LIS),2022-11-19
TAP Air Portugal,TP1528,Accra (ACC),Scheduled,04:10,Arrival,1,04:10,Lisbon (LIS),2022-11-19
TAP Air Portugal,TP74,Rio De Janeiro (GIG),Scheduled,05:10,Arrival,1,05:10,Lisbon (LIS),2022-11-19
Azul,AD7278,Rio De Janeiro (GIG),Scheduled,05:10,Arrival,1,05:10,Lisbon (LIS),2022-11-19
Beijing Capital Airlines,JD5429,Rio De Janeiro (GIG),Scheduled,05:10,Arrival,1,05:10,Lisbon (LIS),2022-11-19
TAP Air Portugal,TP82,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:15,Arrival,1,05:15,Lisbon (LIS),2022-11-19
Azul,AD7214,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:15,Arrival,1,05:15,Lisbon (LIS),2022-11-19
Beijing Capital Airlines,JD5432,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Scheduled,05:15,Arrival,1,05:15,Lisbon (LIS),2022-11-19
TAP Air Portugal,TP202,Newark (EWR),Scheduled,05:25,Arrival,1,05:25,Lisbon (LIS),2022-11-19
Air Canada,AC2704,Newark (EWR),Scheduled,05:25,Arrival,1,05:25,Lisbon (LIS),2022-11-19
TAP Air Portugal,TP224,Miami (MIA),Scheduled,05:30,Arrival,1,05:30,Lisbon (LIS),2022-11-19
TAP Air Portugal,TP218,Boston (BOS),Scheduled,05:35,Arrival,1,05:35,Lisbon (LIS),2022-11-19
TAP Air Portugal,TP1482, (DSS),Scheduled,06:00,Arrival,1,06:00,Lisbon (LIS),2022-11-19
Air Canada,AC2642, (DSS),Scheduled,06:00,Arrival,1,06:00,Lisbon (LIS),2022-11-19
Emirates,EK4809, (DSS),Scheduled,06:00,Arrival,1,06:00,Lisbon (LIS),2022-11-19
TAP Air Portugal,TP1548,Sal (SID),Scheduled,06:00,Arrival,1,06:00,Lisbon (LIS),2022-11-19
Turkish Airlines,TK8139,Sal (SID),Scheduled,06:00,Arrival,1,06:00,Lisbon (LIS),2022-11-19
TAP Air Portugal,TP1925,Porto (OPO),Scheduled,06:00,Arrival,1,06:00,Lisbon (LIS),2022-11-19
Azul,AD7315,Porto (OPO),Scheduled,06:00,Arrival,1,06:00,Lisbon (LIS),2022-11-19
Lufthansa,LH6945,Porto (OPO),Scheduled,06:00,Arrival,1,06:00,Lisbon (LIS),2022-11-19
Azores Airlines,S48413,Porto (OPO),Scheduled,06:00,Arrival,1,06:00,Lisbon (LIS),2022-11-19
Air Canada,AC810,Toronte (YYZ),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-11-19
Lufthansa,LH6715,Toronte (YYZ),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-11-19
United Airlines,UA8655,Toronte (YYZ),Scheduled,06:05,Arrival,1,06:05,Lisbon (LIS),2022-11-19
Hi Fly,5K650,Luanda (LAD),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-11-19
TAAG,DT650,Luanda (LAD),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-11-19
TAP Air Portugal,TP104,Belo Horizonte Tancredo Neves (CNF),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-11-19
Azul,AD7254,Belo Horizonte Tancredo Neves (CNF),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-11-19
Emirates,EK4807,Belo Horizonte Tancredo Neves (CNF),Scheduled,06:10,Arrival,1,06:10,Lisbon (LIS),2022-11-19
